raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
Rageshri,2,D,537,-319.28991919328166,0.5418483612322402,0.5722323814882542,0.42776761851174583,0.24222936763068192,0.0,6,2,0.08333333333333333,151
"Durga, Jaldhar Kedar",2,D,537,-320.55352470703053,0.5418483612322402,0.581938387958925,0.41806161204107495,0.29560557341832766,0.0,5,3,0.0,152
Jog,3,D#,3200,-321.5280763199539,0.33577155718103785,0.5086510057673371,0.4913489942326629,0.21531499344949515,0.0,6,2,0.08333333333333333,153
Rageshri,3,D#,3200,-323.1092811869599,0.29638486425657595,0.5076663384442256,0.4923336615557744,0.21489817792014043,0.0,6,2,0.08333333333333333,154
Prabhateshwari,10,A#,512,-332.3807321309488,0.33577155718103785,0.5516950344633563,0.4483049655366437,0.2001735313627339,0.0,7,1,0.16666666666666666,155
"Gorakh Kalyan, Narayani",10,A#,512,-342.5901737409377,0.33577155718103785,0.5583063722042481,0.44169362779575194,0.23633440514409454,0.0,6,2,0.08333333333333333,156
Kalavati,3,D#,3200,-343.8196755911537,0.33577155718103785,0.5062596708397804,0.4937403291602196,0.25716327259670335,0.0,5,3,0.0,157
Sundarkali,3,D#,3200,-359.8401320258909,0.33577155718103785,0.4964129976086649,0.5035870023913351,0.2521614862444474,0.0,5,3,0.0,158
Bibhas,3,D#,3200,-361.671041332718,0.33577155718103785,0.49528766352510883,0.5047123364748911,0.2515898535184753,0.0,5,3,0.0,159
"Basant, Puriya Dhanashree, Shri”",10,A#,512,-361.91702569512876,0.09706006470670993,0.5331270220846815,0.46687297791531845,0.19343643137806255,0.0,7,1,0.16666666666666666,160
Kaushik Dhwani,2,D,537,-365.6396663876483,0.5418483612322402,0.5542270361513572,0.44577296384864284,0.2815291175412645,0.0,5,3,0.0,161
Jogeshwari,3,D#,3200,-385.0021574097657,0.29638486425657595,0.46912364608243073,0.5308763539175693,0.19858282719968648,0.0,6,2,0.08333333333333333,162
"Durga, Jaldhar Kedar",10,A#,512,-387.4037597528064,0.33577155718103785,0.5414263609509071,0.4585736390490929,0.27502679528333174,0.0,5,3,0.0,163
Hansadhwani,10,A#,512,-395.87171529688175,0.09706006470670993,0.5362216908144604,0.46377830918553964,0.27238299392571075,0.0,5,3,0.0,164
“Deshkar”,3,D#,3200,-399.5801528148618,0.33577155718103785,0.500633000422,0.499366999578,0.3178813862085534,0.0,4,4,0.0,165
