track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Manj Khamaj_8,413.2,83.98
Manj Khamaj_9,390.2,83.43
Maru Bihag_1,178.29,93.7
Maru Bihag_10,185.32,139.16
Maru Bihag_2,200.02,99.81
Maru Bihag_3,175.0,140.19
Maru Bihag_4,293.06,233.04
Maru Bihag_5,258.125,237.21
Maru Bihag_6,156.15,100.4
Maru Bihag_7,160.96,98.24
Maru Bihag_8,233.03,233.04
Maru Bihag_9,328.38,232.26
Marva_1,156.05,246.63
Marva_10,276.525,104.35
Marva_2,175.93,79.4
Marva_3,146.35,121.905
Marva_4,168.325,107.685
Marva_5,139.17,117.32
Marva_6,152.97,126.65
Marva_7,165.26,97.64
Marva_8,189.99,88.0
Marva_9,160.91,156.29500000000002
Megh Malhar_1,158.52,101.18
Megh Malhar_2,260.475,117.19
Megh Malhar_3,266.72,92.87
Megh Malhar_4,281.56,107.035
Megh Malhar_5,261.33,116.05
Megh Malhar_6,154.575,83.7
Megh_1,261.46500000000003,235.48
Megh_10,221.23,68.67
Megh_2,139.17,96.46
Megh_3,230.64499999999998,83.05
Megh_4,216.77,92.38
Megh_5,233.03,175.01
Megh_6,165.24,82.93
Megh_7,233.02,175.03
Megh_8,236.76,233.03
Megh_9,177.185,88.86
Miyan ki Malhar_1,136.06,124.59
Miyan ki Malhar_10,139.03,104.48
Miyan ki Malhar_2,164.3,161.74
Miyan ki Malhar_3,201.56,178.4
Miyan ki Malhar_4,275.235,85.98
Miyan ki Malhar_5,141.86,133.4
Miyan ki Malhar_6,227.88,234.34
Miyan ki Malhar_7,147.76,107.74
Miyan ki Malhar_8,139.21,147.37
Miyan ki Malhar_9,147.46,72.89
Multani_1,244.35,91.89
Multani_10,256.39,92.01
Multani_2,147.43,147.37
Multani_3,341.26,114.77
Multani_4,316.02,92.475
Multani_5,156.06,87.745
Multani_6,253.04,126.07
Multani_7,330.22,116.54
Multani_8,188.88,157.43
Multani_9,189.51,103.86500000000001
Nand_1,158.92,84.0
Nand_10,293.04,81.08
Nand_11,196.24,147.37
Nand_2,234.94,92.555
Nand_3,321.255,93.12
Nand_4,186.555,139.1
